日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
107/05/31,96587458,21553655265,221.5,224.0,220.5,224.0,3.0,12737
107/06/01,36652094,8209412370,224.5,226.5,224.0,224.0,0.00,7627
107/06/04,31257480,7131988670,227.5,229.0,227.0,229.0,+5.00,9746
107/06/05,27714384,6329201896,230.0,230.0,226.5,229.0,0.00,8509
107/06/06,30375441,6961135060,229.0,230.0,227.0,230.0,+1.00,9758
107/06/07,25277266,5809345446,231.0,231.5,228.0,230.0,0.00,9146
107/06/08,24192851,5493234408,229.0,229.0,226.0,227.0,-3.00,7775
107/06/11,22028933,4980629259,226.5,227.0,225.0,226.0,-1.00,6726
107/06/12,30189360,6837374510,225.0,229.0,224.0,229.0,+3.00,8281
107/06/13,36081120,8311856296,229.0,232.0,228.0,232.0,+3.00,10687
107/06/14,36932041,8423126398,230.0,230.0,226.5,226.5,-5.50,12252
107/06/15,49506679,11291127719,225.0,231.0,224.0,231.0,+4.50,10090
107/06/19,61142624,13754800554,225.5,226.0,224.0,225.0,-6.00,19088
107/06/20,40708701,9175159127,224.5,227.5,223.5,226.0,+1.00,13262
107/06/21,32572707,7379769339,227.5,228.0,226.0,226.5,+0.50,9421
107/06/22,44211409,9994644852,224.5,227.5,224.0,227.5,+1.00,14388
107/06/25,49058211,10749795782,220.0,220.5,218.0,218.0,X0.00,17959
107/06/26,43080346,9242648746,215.5,216.0,212.5,214.5,-3.50,15639
107/06/27,40863414,8742004301,216.0,216.0,212.5,213.0,-1.50,12681
107/06/28,38816780,8231075920,211.0,214.5,210.0,212.0,-1.00,10772
107/06/29,36848680,7919779720,212.0,217.0,212.0,216.5,+4.50,8652
107/07/02,33496442,7257081470,218.5,219.0,214.0,214.0,-2.5,8508
107/07/03,28663220,6173115899,215.5,218.0,213.5,214.5,0.5,7758
107/07/04,15359295,3324927032,217.0,217.5,215.5,216.0,1.5,5434
107/07/05,18225416,3904832940,214.0,215.0,213.0,214.5,-1.5,5581
107/07/06,31344962,6779063394,217.5,217.5,215.0,217.0,2.5,8620
107/07/09,41165793,9100880393,219.5,223.0,218.5,221.5,4.5,14795
107/07/10,20196957,4498264914,223.0,224.0,222.0,222.0,0.5,6922
107/07/11,19854690,4355547100,220.0,220.0,218.0,220.0,-2.0,7437
107/07/12,23806051,5246628771,218.0,222.0,218.0,220.5,0.5,7885
107/07/13,30419311,6799894334,222.5,224.5,222.5,224.5,4.0,11723
107/07/16,16107254,3612296896,224.5,225.0,223.5,223.5,-1.0,6321
107/07/17,22554436,5003028272,222.5,223.5,221.0,221.5,-2.0,8636
107/07/18,45802658,10221407834,223.0,224.0,222.0,223.0,1.5,12139
107/07/19,43976216,9930715930,225.5,227.0,224.5,224.5,1.5,12076
107/07/20,103652023,24367904428,235.0,237.5,233.0,237.5,13.0,39544
107/07/23,52269877,12621500480,239.0,245.0,238.5,241.0,3.5,19777
107/07/24,27468267,6599675515,240.0,241.5,238.5,241.0,0.0,10574
107/07/25,21530312,5173924310,239.0,241.0,239.0,240.5,-0.5,8491
107/07/26,30856388,7435261120,241.0,242.5,239.5,241.0,0.5,10235
107/07/27,27129646,6605479210,242.0,244.5,241.0,244.5,3.5,12493
107/07/30,22803730,5585710909,244.5,245.5,244.0,245.5,1.0,9953
107/07/31,28202542,6912550610,243.5,246.0,242.0,246.0,0.5,9460
107/08/01,29777161,7375488342,247.0,248.0,246.5,248.0,2.0,11667
107/08/02,22775110,5611725541,249.0,249.5,243.5,244.5,-3.5,10343
107/08/03,25165097,6205758662,246.0,248.0,245.0,247.0,2.5,9585
107/08/06,22364568,5487396854,245.0,247.0,244.0,245.5,-1.5,9732
107/08/07,24352418,5922738042,245.0,245.5,241.5,241.5,-4.0,9665
107/08/08,24382432,6011480272,245.0,247.5,244.5,247.5,6.0,10247
107/08/09,15128655,3740736404,247.0,248.0,246.0,247.0,-0.5,7127
107/08/10,16125492,3961311040,246.5,247.0,244.5,245.0,-2.0,6558
107/08/13,17881194,4302280285,241.5,243.0,239.0,240.5,-4.5,9875
107/08/14,17488913,4262753253,245.0,245.0,242.5,243.5,3.0,7415
107/08/15,19236321,4642117523,244.5,244.5,239.5,241.5,-2.0,8920
107/08/16,19155966,4587260340,238.0,241.5,238.0,239.0,-2.5,9397
107/08/17,19634474,4707354383,239.5,241.0,239.0,239.5,0.5,6680
107/08/20,17014437,4068729103,239.5,240.0,238.0,239.5,0.0,6640
107/08/21,13871127,3328215657,239.0,241.0,238.5,241.0,1.5,5474
107/08/22,12679240,3063201922,241.5,242.5,240.5,242.0,1.0,5009
107/08/23,17216240,4200671070,243.0,244.5,243.0,244.5,2.5,5660
107/08/24,15446943,3772959070,245.5,246.0,243.0,243.5,-1.0,5099
107/08/27,15579299,3825736755,246.0,246.5,244.5,245.0,1.5,7858
107/08/28,40410531,10075613779,248.5,250.0,248.0,249.5,4.5,16881
107/08/29,57633182,14784556456,253.5,259.0,253.5,259.0,9.5,25668
107/08/30,52622808,13914404873,264.5,268.0,262.5,263.5,4.5,22862
107/08/31,70000506,17920548387,257.5,259.0,254.0,256.0,-7.5,19019
107/09/03,34510555,8901193266,259.0,260.0,256.5,257.0,1.0,11442
107/09/04,41455615,10654493061,258.5,259.5,255.5,257.5,0.5,9069
107/09/05,52706459,13833360422,260.0,264.5,259.0,264.0,6.5,16421
107/09/06,39779488,10467251488,268.0,268.0,261.0,261.0,-3.0,11996
107/09/07,44746728,11753033262,263.0,264.0,260.5,264.0,3.0,15015
107/09/10,62851599,16669866076,266.5,266.5,262.5,264.5,0.5,15504
107/09/11,44981276,11709484991,263.0,263.5,258.0,260.0,-4.5,14768
107/09/12,38415965,9987682900,261.0,262.0,258.0,260.5,0.5,12104
107/09/13,37959180,9721989110,260.0,260.0,253.5,255.0,-5.5,14987
107/09/14,40034219,10379404959,257.0,261.5,257.0,261.0,6.0,15690
107/09/17,25041358,6483537091,262.5,262.5,257.0,258.0,-3.0,10710
107/09/18,34381152,8771502830,256.5,257.0,254.0,254.5,-3.5,11097
107/09/19,69978711,18074954749,258.0,260.0,257.0,258.0,3.5,14056
107/09/20,35577071,9225009310,261.5,261.5,257.5,260.0,2.0,9444
107/09/21,36500974,9510363894,261.5,261.5,258.0,261.5,1.5,10159
107/09/25,24978062,6552894296,261.5,264.0,260.5,263.5,2.0,10082
107/09/26,25061115,6577367245,263.0,263.5,261.0,263.5,0.0,7007
107/09/27,38495371,10185827315,264.0,266.0,262.0,265.0,1.5,11536
107/09/28,39645486,10412455506,266.0,266.0,260.0,262.5,-2.5,13060
107/10/01,22409380,5882532290,262.0,264.0,261.0,263.0,0.5,11914
107/10/02,38391491,9926505357,262.0,263.0,257.0,257.5,-5.5,17095
107/10/03,25228536,6527393860,257.5,260.0,257.0,260.0,2.5,9992
107/10/04,38009727,9690178362,257.0,257.5,254.0,254.0,-6.0,15094
107/10/05,40396660,10101451270,250.0,253.0,248.5,250.0,-4.0,16031
107/10/08,51083958,12426290240,245.5,246.5,241.0,243.5,-6.5,20745
107/10/09,28933345,7051600725,243.5,245.0,242.0,244.0,0.5,11743
107/10/11,96033657,22115862239,233.5,233.5,227.0,227.5,-16.5,37543
107/10/12,54439769,12650322522,231.0,237.0,229.0,237.0,9.5,17980
107/10/15,46471280,10766953220,234.0,234.0,230.5,230.5,-6.5,16558
107/10/16,39129077,9155829047,229.5,237.0,229.0,237.0,6.5,15182
107/10/17,42887858,10318955161,241.5,243.0,238.0,238.5,1.5,17550
107/10/18,27793430,6587887632,238.0,239.0,235.5,236.5,-2.0,10599
107/10/19,29648460,6927405460,231.0,236.5,230.0,236.0,-0.5,12378
107/10/22,29275777,6872467149,232.5,238.0,231.5,237.0,1.0,10384
107/10/23,36757745,8538586595,232.0,234.0,230.0,230.0,-7.0,13071
107/10/24,45480950,10426514872,230.0,231.0,227.0,229.5,-0.5,17339
107/10/25,75524118,16643542368,220.5,222.0,219.5,219.5,-10.0,27514
107/10/26,54073644,11941421696,223.0,224.0,217.0,221.0,1.5,17106
107/10/29,18463792,4107663616,223.0,224.0,221.0,222.5,1.5,7679
107/10/30,29085931,6487213284,221.0,225.0,220.5,223.0,0.5,8574
107/10/31,59933201,13844478353,228.0,234.0,228.0,234.0,11.0,19183
107/11/01,44514797,10480329245,236.0,237.0,233.0,235.5,1.5,11435
107/11/02,30785361,7249667833,236.5,236.5,233.5,236.5,1.0,11223
107/11/05,28157065,6592130635,233.0,235.5,232.0,235.0,-1.5,6994
107/11/06,35501176,8311988968,234.0,235.5,232.5,234.5,-0.5,7013
107/11/07,39842652,9337023278,233.0,236.0,232.5,234.0,-0.5,7387
107/11/08,28086146,6645771069,237.5,237.5,236.0,236.5,2.5,9461
107/11/09,23792081,5526997792,234.5,234.5,231.0,231.0,-5.5,7886
107/11/12,26202445,6101377163,230.0,234.5,230.0,231.5,0.5,6252
107/11/13,37565127,8504691960,224.5,228.0,224.5,227.5,-4.0,11507
107/11/14,24565279,5639284241,230.0,231.0,228.5,228.5,1.0,6007
107/11/15,22230228,5124189444,229.5,232.0,228.5,231.0,2.5,5996
107/11/16,47138909,10696822542,229.0,229.0,225.0,226.0,-5.0,16009
107/11/19,51034754,11355347628,225.0,225.0,221.0,222.0,-4.0,16289
107/11/20,45686756,9995960780,219.0,220.5,218.0,218.0,-4.0,16874
107/11/21,38478343,8361178460,214.5,220.0,214.0,219.0,1.0,13580
107/11/22,22060610,4867686945,221.5,222.0,219.0,219.0,0.0,9095
107/11/23,15553334,3406422046,220.5,220.5,217.0,218.5,-0.5,6164
107/11/26,35267804,7847501792,219.0,224.0,218.5,223.0,4.5,9422
107/11/27,32676349,7239283641,220.0,224.5,219.0,224.0,1.0,10170
107/11/28,24759026,5560623349,222.5,227.0,222.0,226.5,2.5,8316
107/11/29,46206207,10629450003,231.5,231.5,229.0,229.0,2.5,15849
107/11/30,57352957,12995823319,229.5,231.0,225.5,225.5,-3.5,10931
107/12/03,49612186,11579966474,231.0,235.0,231.0,235.0,9.5,19747
107/12/04,41947162,9791147799,233.0,234.5,231.0,234.0,-1.0,12545
107/12/05,45634576,10316394736,226.5,227.5,225.0,226.0,-8.0,15703
107/12/06,40181112,8853295746,220.0,222.0,219.5,220.0,-6.0,15702
107/12/07,31997568,7097739916,222.5,223.5,220.5,221.0,1.0,8315
107/12/10,26229461,5744814170,219.5,220.0,218.5,219.0,-2.0,8650
107/12/11,27395220,6067551383,220.0,223.0,219.0,222.5,3.5,8509
107/12/12,32926379,7418108779,223.5,227.0,222.5,226.5,4.0,9117
107/12/13,32433141,7345479366,227.0,227.5,225.0,226.0,-0.5,8635
107/12/14,43226159,9570070114,223.0,223.5,220.5,222.5,-3.5,10454
107/12/17,18964952,4229977248,221.0,225.0,220.0,223.5,1.0,6449
107/12/18,30270541,6713448829,221.0,223.0,220.5,222.5,-1.0,10521
107/12/19,23415082,5255393450,222.0,225.5,222.0,225.5,3.0,7875
107/12/20,38697116,8573665030,221.0,222.5,221.0,221.0,-4.5,10528
107/12/21,46947532,10401202852,219.0,224.0,219.0,223.5,2.5,9554
107/12/22,5185247,1145814834,220.0,221.5,220.0,221.5,-2.0,2229
107/12/24,23376100,5151549100,221.5,221.5,219.5,220.0,-1.5,6122
107/12/25,19402777,4198767163,215.5,218.0,215.0,217.5,-2.5,8065
107/12/26,16893259,3678108462,218.5,219.5,216.0,216.5,-1.0,6998
107/12/27,21915484,4874845852,222.0,224.0,220.5,223.0,6.5,9531
107/12/28,30156773,6762447425,223.5,225.5,222.5,225.5,2.5,10247
108/01/02,32900482,7276419230,226.5,226.5,219.0,219.5,-6.0,12329
108/01/03,34615620,7459051790,214.0,218.0,214.0,215.5,-4.0,14549
108/01/04,67043521,13987136785,211.5,211.5,206.5,208.0,-7.5,28786
108/01/07,35695176,7591116569,212.0,214.0,211.0,213.0,5.0,11224
108/01/08,23794481,5019703557,212.0,212.5,210.0,211.0,-2.0,9377
108/01/09,51255446,11006827093,212.0,216.5,211.0,215.5,4.5,14098
108/01/10,20832593,4491377349,216.0,216.5,214.5,216.0,0.5,6018
108/01/11,28658288,6296719320,219.0,220.5,218.0,220.5,4.5,11198
108/01/14,17612296,3844735324,218.5,220.0,217.0,218.5,-2.0,6469
108/01/15,42990923,9399209983,216.5,221.0,215.5,221.0,2.5,11609
108/01/16,30038282,6563789758,218.5,220.0,217.5,217.5,-3.5,8950
108/01/17,21163986,4646131841,218.0,221.0,218.0,220.5,3.0,8288
108/01/18,52677569,11530053787,219.0,220.0,217.5,218.5,-2.0,15157
108/01/21,32515866,7208829658,220.0,223.0,220.0,221.0,2.5,10549
108/01/22,30958483,6854867566,220.0,223.0,219.0,223.0,2.0,8258
108/01/23,18671213,4121110926,221.5,222.0,220.0,220.5,-2.5,7059
108/01/24,31348924,6958753608,222.5,222.5,220.5,222.5,2.0,6291
108/01/25,48039764,10870045150,226.5,227.0,225.0,226.0,3.5,14979
108/01/28,29134257,6665379096,229.5,229.5,228.0,229.0,3.0,10189
108/01/29,42566520,9486156460,222.5,225.0,222.0,222.5,-6.5,13344
108/01/30,51889945,11453957730,220.5,221.5,220.0,221.0,-1.5,12858
108/02/11,81360106,18546167132,228.0,229.0,226.5,228.0,7.0,21689
108/02/12,30125670,6921488930,230.0,230.0,229.0,230.0,2.0,13313
108/02/13,28634925,6575201825,232.0,232.0,228.5,229.0,-1.0,10230
108/02/14,23647751,5392943977,229.5,230.0,226.0,227.0,-2.0,6873
108/02/15,22369799,5093773373,229.0,229.0,226.5,227.0,0.0,5743
108/02/18,18163916,4169729625,229.0,230.5,228.5,230.0,3.0,7035
108/02/19,18423023,4228108427,230.0,230.5,229.0,229.0,-1.0,6471
108/02/20,31887710,7430197670,231.5,234.5,231.0,234.5,5.5,14241
108/02/21,34013489,8013908284,235.5,236.5,234.5,236.5,2.0,11443
108/02/22,22032163,5187054985,235.5,236.5,234.0,236.5,0.0,6913
108/02/25,25227138,5995746054,237.5,239.0,236.0,238.0,1.5,8527
108/02/26,24586789,5864298571,239.0,240.0,236.5,239.5,1.5,7994
108/02/27,37947889,9052540803,238.5,239.5,237.0,239.0,-0.5,9931
108/03/04,45164513,10691130829,239.5,239.5,234.5,235.5,-3.5,13323
108/03/05,23708407,5533050748,234.0,234.5,232.5,233.0,-2.5,8706
108/03/06,20811226,4872352124,235.0,235.5,233.5,234.0,1.0,7090
108/03/07,17226192,4029782428,235.0,235.0,233.0,234.0,0.0,5768
108/03/08,22535659,5183171608,231.0,231.5,229.0,230.0,-4.0,8931
108/03/11,34282793,7835079913,228.0,230.5,227.5,230.5,0.5,7451
108/03/12,23839972,5601351324,233.0,237.0,232.5,235.5,5.0,9253
108/03/13,22493195,5308051755,234.0,237.0,234.0,237.0,1.5,6269
108/03/14,17281356,4077045380,239.0,239.0,234.0,234.5,-2.5,6564
108/03/15,34542729,8231572752,237.0,239.5,235.5,239.0,4.5,8872
108/03/18,27040532,6493129050,239.5,241.0,239.0,241.0,2.0,10690
108/03/19,14620009,3496720720,239.0,240.5,238.0,240.5,-0.5,7105
108/03/20,23055971,5563557011,242.0,242.0,239.5,242.0,1.5,6757
108/03/21,27514502,6710510004,242.5,245.5,241.0,245.5,3.5,11071
108/03/22,22996467,5680726299,248.0,248.5,244.5,248.5,3.0,10485
108/03/25,19273254,4662705968,240.5,243.5,240.5,241.5,-7.0,8468
108/03/26,21053170,5109273236,243.0,244.0,241.0,244.0,2.5,6630
108/03/27,23622089,5703467700,242.0,242.5,240.5,241.5,-2.5,7603
108/03/28,13998054,3379510718,240.5,242.5,240.0,242.0,0.5,3948
108/03/29,31024810,7568601014,243.0,245.5,240.5,245.5,3.5,6712
108/04/01,35330656,8758161220,251.0,251.0,245.0,245.5,0.0,13292
108/04/02,25189053,6226523038,249.5,249.5,246.0,246.0,0.5,9171
108/04/03,28581323,7075597562,249.0,249.0,246.5,246.5,0.5,8067
108/04/08,46426821,11682512762,251.0,253.0,250.5,253.0,6.5,16430
108/04/09,22745674,5760337782,253.0,254.0,252.0,254.0,1.0,8323
108/04/10,33174934,8403528302,253.0,254.5,252.0,254.0,0.0,9992
108/04/11,25146840,6347861680,253.0,254.0,251.5,252.0,-2.0,8284
108/04/12,13888148,3496444666,251.5,253.0,251.0,252.0,0.0,4931
108/04/15,17257002,4403988510,255.0,256.0,254.0,255.5,3.5,6739
108/04/16,20231648,5185697928,257.0,257.0,255.5,257.0,1.5,7676
108/04/17,39037191,10202504410,260.0,263.0,259.5,261.5,4.5,13486
108/04/18,48525490,12836006732,264.0,266.0,263.5,264.5,3.0,12208
108/04/19,47698699,12712409558,269.0,269.5,263.5,264.5,0.0,14431
108/04/22,24967393,6635995145,266.5,267.5,265.0,266.0,1.5,8527
108/04/23,26251847,7017363629,266.5,268.0,266.0,268.0,2.0,9394
108/04/24,37386755,10044241090,270.0,270.0,267.5,269.0,1.0,9687
108/04/25,36572455,9800038536,268.5,269.0,267.0,267.5,-1.5,7331
108/04/26,51743804,13459329059,262.0,263.0,257.5,260.0,-7.5,16674
108/04/29,32651618,8477117257,260.0,262.0,258.5,259.5,-0.5,10407
108/04/30,40446419,10484399861,260.0,260.5,258.0,259.0,-0.5,10939
108/05/02,27376394,7122135656,261.5,262.5,258.5,259.0,0.0,9110
108/05/03,30200246,7940572444,262.0,265.0,260.5,265.0,6.0,10068
108/05/06,33688187,8717053470,260.0,260.0,258.0,259.0,-6.0,12535
108/05/07,25686126,6719199455,259.5,263.0,259.0,262.5,3.5,8339
108/05/08,25902364,6750083504,260.0,261.5,259.5,260.0,-2.5,7905
108/05/09,34166574,8798140796,259.5,259.5,256.0,256.5,-3.5,10995
108/05/10,18868212,4844594484,257.0,259.0,255.0,256.0,-0.5,8009
108/05/13,29317535,7374249589,253.0,254.0,249.5,250.5,-5.5,11974
108/05/14,45620708,11345067455,247.5,251.0,245.0,248.5,-2.0,14283
108/05/15,37223479,9327051888,251.0,252.0,249.0,249.0,0.5,12041
108/05/16,30331519,7520908612,248.5,249.5,246.0,247.0,-2.0,11402
108/05/17,40006856,9775372898,249.0,249.0,241.5,241.5,-5.5,15217
108/05/20,47097661,11303513908,242.5,243.0,238.0,238.0,-3.5,13099
108/05/21,82872775,19418705158,233.5,236.0,232.5,234.0,-4.0,25418
108/05/22,36289034,8669172710,236.5,240.5,235.5,238.0,4.0,14019
108/05/23,62258627,14379543985,233.5,233.5,230.0,230.0,-8.0,24974
108/05/24,38226789,8866253632,230.0,234.0,230.0,233.0,3.0,14586
108/05/27,37447033,8697538216,234.0,235.0,231.0,231.0,-2.0,13895
108/05/28,99322033,22910765567,232.0,232.0,230.5,230.5,-0.5,10122
108/05/29,32260236,7385029780,228.0,230.5,227.0,229.5,-1.0,10233
108/05/30,40375328,9292745636,230.0,231.5,229.0,231.0,1.5,8772
108/05/31,49163217,11559578381,232.0,237.5,231.0,235.5,4.5,14365
108/06/03,36687092,8651389851,235.5,238.5,232.0,238.0,+2.50,8857
108/06/04,24443428,5745045809,237.5,238.0,233.0,233.0,-5.00,11779
108/06/05,35901584,8461930934,238.0,238.0,234.0,235.0,+2.00,12064
108/06/06,34651731,8008768323,231.5,232.0,229.5,232.0,-3.00,14723
108/06/10,35521888,8442986620,237.5,240.0,234.5,240.0,+8.00,15588
108/06/11,34691670,8448805962,240.0,246.0,239.0,244.5,+4.50,13157
108/06/12,30409556,7469805086,244.5,247.5,243.0,246.0,+1.50,11457
108/06/13,33731724,8136137708,242.5,244.0,240.0,240.0,-6.00,13552
108/06/14,35403556,8396819832,238.5,239.5,236.0,236.0,-4.00,14911
108/06/17,51692012,12043369475,231.5,235.0,230.5,233.0,-3.00,20943
108/06/18,28798087,6758454612,234.0,235.5,233.0,235.5,+2.50,9681
108/06/19,50234372,12181979568,242.5,244.0,240.5,244.0,+8.50,20528
108/06/20,39717291,9697726719,242.0,245.5,241.0,245.0,+1.00,13879
108/06/21,62136304,15398139830,248.0,248.5,246.0,248.5,+3.50,19049
108/06/24,43460507,10476936660,241.0,242.0,240.0,241.0,X0.00,17780
108/06/25,29735283,7118002390,241.0,241.5,237.0,238.5,-2.50,11130
108/06/26,28770041,6757991717,235.0,236.5,234.0,234.5,-4.00,13535
108/06/27,42007834,10063332494,236.0,241.5,236.0,240.5,+6.00,14983
108/06/28,28085212,6715488371,241.5,241.5,238.0,239.0,-1.50,8987
108/07/01,66370875,16445222750,245.5,250.0,245.0,248.5,9.5,29551
108/07/02,26832202,6671951743,249.5,250.0,247.5,249.0,0.5,12531
108/07/03,29549774,7190777082,244.0,245.0,242.0,242.5,-6.5,16033
108/07/04,18691240,4561556160,244.5,245.0,242.5,244.0,1.5,8565
108/07/05,27317074,6624379927,244.5,245.0,241.5,243.0,-1.0,9013
108/07/08,29190909,7057462187,240.0,244.5,240.0,242.5,-0.5,10552
108/07/09,16538987,3998096596,241.5,243.0,240.5,242.0,-0.5,6486
108/07/10,23812131,5839691357,243.0,247.0,243.0,247.0,5.0,12366
108/07/11,31296289,7809358257,250.0,250.0,247.5,250.0,3.0,14360
108/07/12,23868432,5984689000,252.0,252.0,249.5,250.5,0.5,8363
108/07/15,34264300,8663129910,251.0,254.5,249.5,254.5,4.0,12174
108/07/16,26141249,6678755679,254.0,256.5,253.5,256.0,1.5,8994
108/07/17,34346648,8686815824,254.0,254.0,251.0,252.0,-4.0,11106
108/07/18,20908575,5300082470,252.0,254.5,251.5,254.0,2.0,8245
108/07/19,59879798,15573278932,259.5,261.0,259.0,259.0,5.0,21827
108/07/22,31863639,8385222407,263.0,264.0,262.0,264.0,5.0,13424
108/07/23,29273223,7734089131,265.5,266.5,262.5,264.0,0.0,12791
108/07/24,24511039,6484708226,266.5,266.5,263.0,265.0,1.0,10617
108/07/25,30698545,8091922380,264.0,265.0,261.5,265.0,0.0,10643
108/07/26,20768071,5434082968,261.0,262.5,261.0,261.0,-4.0,8850
108/07/29,18473320,4822762518,260.0,262.0,259.5,261.0,0.0,6681
108/07/30,22895612,5975389270,262.5,263.0,260.0,260.0,-1.0,7191
108/07/31,36365601,9413416604,260.0,260.0,257.0,259.5,-0.5,10468
108/08/01,30107526,7722031382,257.5,257.5,255.5,256.5,-3.0,11372
108/08/02,54165644,13627068452,252.0,253.5,250.5,251.5,-5.0,18096
108/08/05,52835721,13092403583,251.0,252.0,245.5,246.5,-5.0,20136
108/08/06,58916879,14440787992,240.0,250.0,240.0,248.5,2.0,22358
108/08/07,29435460,7305272500,250.0,250.5,246.5,248.0,-0.5,11208
108/08/08,30140266,7599200564,248.0,254.0,248.0,253.5,5.5,11228
108/08/12,24732603,6242935989,254.5,254.5,251.0,251.0,-2.5,8415
108/08/13,25045107,6204239476,249.0,249.5,246.5,246.5,-4.5,11377
108/08/14,36336703,9142333535,252.5,254.0,249.5,249.5,3.0,13609
108/08/15,28277412,6994442633,247.0,248.5,246.0,248.0,-1.5,10852
108/08/16,25696715,6420744887,249.5,252.0,248.0,250.0,2.0,8994
108/08/19,25098514,6326683127,251.5,253.0,250.5,252.0,2.0,9398
108/08/20,20620494,5233263533,254.0,254.5,252.5,254.5,2.5,8214
108/08/21,20269296,5152545480,254.5,255.0,253.0,254.5,0.0,7383
108/08/22,22136840,5659296700,257.0,257.5,254.0,254.0,-0.5,8794
108/08/23,14772877,3748071178,253.5,254.5,253.0,254.0,0.0,5663
108/08/26,31740620,7910873500,249.0,250.5,248.5,248.5,-5.5,13388
108/08/27,53664951,13410582151,250.5,251.0,248.5,250.0,1.5,8939
108/08/28,15280882,3852096070,250.5,253.0,250.5,252.0,2.0,6829
108/08/29,20085767,5078703588,253.0,254.0,251.0,254.0,2.0,6596
108/08/30,35299201,9092482858,256.5,259.0,256.0,259.0,5.0,13703
108/09/02,14776854,3800453292,258.0,258.0,256.0,257.5,-1.50,7608
108/09/03,26086495,6642868555,256.5,258.0,253.0,254.0,-3.50,11210
108/09/04,23697733,6081456520,254.0,258.0,254.0,257.5,+3.50,9291
108/09/05,49041728,12869665251,263.0,263.0,260.5,263.0,+5.50,22796
108/09/06,26609515,7016868801,265.0,265.0,263.0,263.5,+0.50,11957
108/09/09,17317833,4585545966,265.5,266.0,263.5,265.0,+1.50,8762
108/09/10,30019866,7862297242,263.5,264.0,260.5,261.5,-3.50,11831
108/09/11,36266015,9508884445,264.0,264.5,260.5,263.0,+1.50,12058
108/09/12,38792293,10198483555,265.0,265.0,261.5,262.5,-0.50,8282
108/09/16,38913966,10258240252,262.0,265.5,261.5,265.5,+3.00,11120
108/09/17,30069844,7979032930,266.5,266.5,264.5,265.0,-0.50,9222
108/09/18,51360759,13754334364,267.0,269.5,266.5,267.0,+2.00,17993
108/09/19,27165567,7216457755,268.0,268.0,264.0,265.0,X0.00,10194
108/09/20,44555865,11785924559,266.0,266.5,264.0,264.0,-1.00,9109
108/09/23,14220208,3749146092,264.0,264.0,263.0,264.0,0.00,5647
108/09/24,24304943,6419420695,263.5,265.5,262.0,265.0,+1.00,9180
108/09/25,23244163,6144037875,262.5,266.0,262.0,266.0,+1.00,7145
108/09/26,34128103,9139219995,269.0,269.5,266.5,268.0,+2.00,11861
108/09/27,44242817,12021629536,271.5,272.5,271.0,272.0,+4.00,16626
108/10/01,75248890,20886838992,273.0,280.5,273.0,280.0,8.0,26648
108/10/02,30572953,8553297334,280.0,281.0,279.0,279.5,-0.5,12294
108/10/03,35874864,9891620358,274.0,277.5,274.0,276.5,-3.0,12853
108/10/04,35814613,9924872301,279.5,280.0,275.0,276.5,0.0,13780
108/10/07,17750230,4944376000,279.0,279.5,277.5,278.0,1.5,7757
108/10/08,39868551,11341522526,283.5,286.5,282.5,286.5,8.5,16721
108/10/09,34895456,9890256397,283.5,286.0,282.0,282.0,-4.5,14567
108/10/14,53403517,15508059122,291.5,291.5,288.5,290.0,8.0,17812
108/10/15,54754830,16088110873,293.5,296.0,292.0,293.5,3.5,15485
108/10/16,42917144,12670374493,298.0,298.0,293.5,296.5,3.0,16650
108/10/17,41920938,12296120182,295.0,295.5,292.0,293.5,-3.0,15170
108/10/18,45460984,13299843176,293.0,295.5,291.0,293.0,-0.5,18000
108/10/21,35860365,10389254035,291.0,291.0,288.5,290.0,-3.0,14682
108/10/22,26525020,7767636380,292.5,294.0,291.5,294.0,4.0,10186
108/10/23,30382408,8877572772,293.5,293.5,290.5,293.0,-1.0,11753
108/10/24,29040827,8488069650,294.5,294.5,291.0,293.0,0.0,10649
108/10/25,25082711,7362074526,294.5,294.5,292.5,293.5,0.5,11064
108/10/28,20216561,5958714595,295.0,295.5,294.0,294.5,1.0,9257
108/10/29,37130131,11044649541,297.0,298.5,296.5,298.5,4.0,14060
108/10/30,32370342,9646551600,298.5,299.5,296.5,299.5,1.0,11084
108/10/31,43123514,12921309531,300.0,301.5,298.5,298.5,-1.0,12997
108/11/01,30216678,8998151212,299.5,299.5,296.5,299.0,0.5,10241
108/11/04,45155671,13767873778,302.5,308.0,301.0,307.0,8.0,18475
108/11/05,32253184,9965563625,307.5,310.5,307.0,310.5,3.5,13698
108/11/06,22149743,6864516290,309.0,311.5,308.0,311.0,0.5,9660
108/11/07,28453659,8769417841,310.0,310.0,306.5,309.0,-2.0,12277
108/11/08,26230542,8040782450,308.5,309.0,305.5,305.5,-3.5,12740
108/11/11,35285583,10660082266,305.0,305.0,300.0,301.0,-4.5,15246
108/11/12,19016708,5774255431,302.5,305.0,302.0,305.0,4.0,8957
108/11/13,18422438,5583245970,303.0,304.0,301.5,304.0,-1.0,6039
108/11/14,15734835,4776767840,304.5,305.0,302.0,303.5,-0.5,6219
108/11/15,29038445,8891701115,305.5,307.5,304.5,307.0,3.5,8672
108/11/18,18741325,5796331075,308.5,311.0,307.0,311.0,4.0,8420
108/11/19,33096197,10365611120,312.5,315.0,311.0,315.0,4.0,11121
